年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2016,外国人,来日外国人,計,凶悪犯,強盗,47.35707780723563
2016,外国人,来日外国人,計,凶悪犯,放火,10.423953144058176
2016,外国人,来日外国人,計,凶悪犯,殺人,14.814886708943543
2016,外国人,永住者等,計,凶悪犯,不同意性交等,8.504537652538456
2016,外国人,永住者等,計,凶悪犯,強盗,18.394123721114717
2016,外国人,永住者等,計,凶悪犯,放火,5.580632627635988
2016,外国人,永住者等,計,凶悪犯,殺人,7.805896668175011
2017,外国人,来日外国人,計,凶悪犯,不同意性交等,28.67838550255152
2017,外国人,来日外国人,計,凶悪犯,強盗,45.927515283458334
2017,外国人,来日外国人,計,凶悪犯,放火,11.223275172227472
2017,外国人,来日外国人,計,凶悪犯,殺人,18.715253968901358
2017,外国人,永住者等,計,凶悪犯,不同意性交等,8.822904396725088
2017,外国人,永住者等,計,凶悪犯,強盗,15.82246650626318
2017,外国人,永住者等,計,凶悪犯,放火,5.7497409085789615
2017,外国人,永住者等,計,凶悪犯,殺人,8.68559054387112
2018,外国人,来日外国人,計,凶悪犯,不同意性交等,35.7015311861973
2018,外国人,来日外国人,計,凶悪犯,強盗,52.444939268075316
